days_of_stay,genre,age,kids,destination,accommodation_type
2.0,M,33.0,0.0,PE,Hotel
4.0,F,,1.0,PE,AirBnB
3.0,F,31.0,1.0,IT,Hotel
1.0,F,29.0,1.0,ES,Hotel
7.0,F,37.0,0.0,NL,AirBnB
5.0,M,42.0,0.0,PE,AirBnB
4.0,M,47.0,0.0,PE,AirBnB
1.0,M,40.0,0.0,US,Hotel
5.0,M,41.0,1.0,ES,Hotel
4.0,M,40.0,1.0,NL,AirBnB
4.0,M,33.0,0.0,UK,Hotel
9.0,M,39.0,0.0,CO,Hotel
4.0,M,36.0,0.0,CO,Hotel
4.0,M,37.0,0.0,NL,Hotel
1.0,M,36.0,1.0,NL,AirBnB
3.0,M,38.0,1.0,ES,AirBnB
5.0,M,43.0,0.0,ES,Hotel
2.0,M,37.0,1.0,NL,AirBnB
4.0,F,41.0,0.0,NL,Hotel
4.0,M,,1.0,CO,Hotel
5.0,M,38.0,0.0,UK,Hotel
4.0,F,44.0,,CO,AirBnB
4.0,M,38.0,1.0,NL,AirBnB
3.0,M,41.0,1.0,NL,Hotel
2.0,M,48.0,1.0,IT,Hotel
6.0,F,34.0,0.0,CO,AirBnB
5.0,M,45.0,1.0,US,Hotel
4.0,M,37.0,1.0,AR,AirBnB
3.0,M,39.0,0.0,AR,Hotel
9.0,F,45.0,1.0,IT,Hotel
5.0,F,34.0,0.0,AR,AirBnB
5.0,M,,0.0,IT,AirBnB
9.0,M,43.0,0.0,US,AirBnB
3.0,M,,0.0,CO,AirBnB
3.0,M,42.0,1.0,PE,AirBnB
6.0,F,37.0,,ES,AirBnB
1.0,F,41.0,1.0,UK,AirBnB
4.0,F,41.0,1.0,AR,AirBnB
6.0,F,42.0,0.0,,Hotel
3.0,F,42.0,0.0,UK,Hotel
6.0,M,36.0,,AR,AirBnB
1.0,M,37.0,0.0,IT,Hotel
3.0,M,42.0,0.0,US,AirBnB
2.0,M,33.0,0.0,IT,Hotel
6.0,M,38.0,1.0,ES,AirBnB
8.0,F,,1.0,NL,Hotel
3.0,F,41.0,1.0,IT,AirBnB
2.0,F,40.0,1.0,CO,Hotel
3.0,M,40.0,0.0,CO,Hotel
5.0,F,32.0,1.0,NL,Hotel
5.0,M,34.0,0.0,,Hotel
4.0,F,41.0,,CO,AirBnB
4.0,M,33.0,,US,Hotel
2.0,F,50.0,1.0,ES,AirBnB
5.0,M,35.0,0.0,PE,AirBnB
3.0,M,,,CO,Hotel
3.0,F,38.0,0.0,NL,AirBnB
8.0,F,38.0,0.0,UK,AirBnB
2.0,F,32.0,,IT,Hotel
2.0,F,39.0,1.0,CO,Hotel
4.0,M,,1.0,UK,AirBnB
3.0,F,45.0,,PE,Hotel
7.0,M,46.0,1.0,UK,Hotel
5.0,F,45.0,0.0,NL,Hotel
4.0,M,39.0,0.0,AR,Hotel
2.0,M,43.0,1.0,AR,Hotel
3.0,F,39.0,1.0,,Hotel
3.0,M,40.0,0.0,IT,Hotel
3.0,M,,0.0,,Hotel
4.0,M,42.0,1.0,ES,Hotel
3.0,F,48.0,0.0,IT,Hotel
4.0,M,41.0,0.0,CO,AirBnB
7.0,F,30.0,1.0,,Hotel
2.0,M,38.0,1.0,ES,Hotel
2.0,M,39.0,1.0,,AirBnB
1.0,M,45.0,0.0,UK,AirBnB
5.0,M,42.0,0.0,PE,Hotel
5.0,M,37.0,1.0,IT,AirBnB
4.0,F,34.0,1.0,NL,AirBnB
4.0,M,42.0,0.0,UK,AirBnB
3.0,M,36.0,0.0,US,Hotel
1.0,F,,1.0,US,Hotel
4.0,M,36.0,0.0,,Hotel
5.0,F,,0.0,ES,AirBnB
5.0,M,42.0,0.0,AR,AirBnB
5.0,F,41.0,1.0,CO,AirBnB
1.0,F,48.0,1.0,PE,Hotel
5.0,M,42.0,0.0,NL,AirBnB
4.0,M,,0.0,CO,Hotel
5.0,M,,1.0,US,Hotel
6.0,F,41.0,1.0,IT,AirBnB
4.0,F,,0.0,AR,AirBnB
2.0,F,39.0,0.0,US,Hotel
4.0,M,42.0,1.0,AR,Hotel
5.0,F,43.0,1.0,IT,AirBnB
2.0,F,40.0,0.0,AR,AirBnB
4.0,M,32.0,1.0,ES,AirBnB
3.0,F,40.0,1.0,CO,Hotel
6.0,M,,1.0,CO,Hotel
7.0,F,,1.0,NL,AirBnB
12.0,F,38.0,1.0,IT,Hotel
5.0,M,38.0,0.0,IT,Hotel
3.0,F,,0.0,,Hotel
7.0,F,43.0,0.0,IT,Hotel
6.0,F,38.0,1.0,ES,Hotel
8.0,M,43.0,1.0,IT,Hotel
2.0,F,41.0,0.0,UK,Hotel
4.0,F,47.0,1.0,NL,AirBnB
3.0,F,49.0,,ES,Hotel
6.0,F,44.0,1.0,IT,AirBnB
3.0,F,49.0,1.0,NL,AirBnB
1.0,M,35.0,0.0,AR,Hotel
6.0,M,36.0,1.0,UK,AirBnB
5.0,F,36.0,0.0,ES,Hotel
2.0,F,40.0,1.0,NL,AirBnB
5.0,F,39.0,1.0,,Hotel
3.0,M,38.0,0.0,ES,Hotel
3.0,F,35.0,1.0,IT,Hotel
5.0,M,36.0,1.0,PE,AirBnB
4.0,F,29.0,0.0,CO,AirBnB
2.0,M,40.0,1.0,US,AirBnB
6.0,M,41.0,0.0,UK,Hotel
3.0,M,35.0,0.0,ES,Hotel
3.0,F,30.0,0.0,UK,AirBnB
3.0,F,46.0,0.0,UK,Hotel
3.0,M,43.0,1.0,AR,Hotel
2.0,M,41.0,1.0,UK,Hotel
4.0,M,34.0,0.0,UK,Hotel
3.0,F,42.0,1.0,NL,AirBnB
3.0,M,46.0,1.0,US,Hotel
4.0,M,39.0,1.0,ES,AirBnB
5.0,M,42.0,1.0,PE,Hotel
5.0,M,39.0,,UK,AirBnB
5.0,M,41.0,1.0,AR,Hotel
5.0,M,,0.0,CO,Hotel
5.0,M,,1.0,ES,AirBnB
4.0,F,48.0,1.0,CO,AirBnB
8.0,F,42.0,1.0,UK,AirBnB
3.0,M,,1.0,IT,AirBnB
2.0,M,43.0,0.0,UK,AirBnB
5.0,M,,1.0,US,AirBnB
4.0,M,44.0,0.0,PE,AirBnB
1.0,F,41.0,1.0,NL,Hotel
8.0,M,39.0,1.0,NL,AirBnB
3.0,M,45.0,0.0,CO,AirBnB
3.0,F,35.0,1.0,PE,Hotel
2.0,M,43.0,1.0,,Hotel
6.0,M,38.0,0.0,AR,Hotel
5.0,M,38.0,1.0,CO,AirBnB
6.0,F,,0.0,ES,Hotel
7.0,M,38.0,0.0,IT,Hotel
1.0,M,31.0,0.0,ES,Hotel
4.0,M,35.0,1.0,IT,AirBnB
4.0,M,,0.0,ES,AirBnB
3.0,F,29.0,0.0,CO,AirBnB
4.0,F,41.0,1.0,IT,AirBnB
2.0,M,38.0,0.0,AR,Hotel
2.0,F,47.0,0.0,ES,Hotel
3.0,F,42.0,,IT,AirBnB
5.0,M,44.0,0.0,PE,AirBnB
2.0,M,,1.0,,Hotel
4.0,M,46.0,1.0,AR,Hotel
2.0,M,52.0,0.0,,Hotel
3.0,F,29.0,1.0,PE,Hotel
6.0,M,47.0,0.0,US,Hotel
3.0,F,41.0,0.0,IT,Hotel
6.0,F,,,AR,Hotel
3.0,F,40.0,1.0,IT,Hotel
3.0,M,37.0,1.0,ES,AirBnB
9.0,M,40.0,1.0,UK,AirBnB
4.0,M,,1.0,CO,Hotel
4.0,M,40.0,0.0,US,Hotel
7.0,F,46.0,1.0,NL,AirBnB
3.0,F,45.0,1.0,NL,AirBnB
3.0,F,51.0,1.0,IT,AirBnB
6.0,M,39.0,1.0,,AirBnB
3.0,M,40.0,1.0,US,AirBnB
4.0,M,43.0,0.0,ES,AirBnB
5.0,F,39.0,1.0,PE,Hotel
4.0,F,45.0,0.0,CO,Hotel
3.0,F,37.0,1.0,CO,Hotel
4.0,M,41.0,1.0,IT,AirBnB
3.0,F,40.0,0.0,UK,AirBnB
2.0,F,37.0,0.0,AR,AirBnB
3.0,F,46.0,0.0,UK,Hotel
7.0,M,32.0,1.0,IT,AirBnB
2.0,M,39.0,1.0,PE,AirBnB
3.0,F,45.0,1.0,IT,AirBnB
5.0,M,39.0,0.0,PE,Hotel
3.0,M,35.0,0.0,UK,Hotel
6.0,F,51.0,1.0,US,Hotel
4.0,F,40.0,0.0,NL,AirBnB
5.0,M,30.0,0.0,US,Hotel
4.0,F,47.0,0.0,US,Hotel
3.0,F,38.0,1.0,IT,Hotel
3.0,M,36.0,0.0,PE,AirBnB
2.0,M,,0.0,IT,Hotel
4.0,M,32.0,0.0,ES,Hotel
6.0,M,37.0,0.0,PE,Hotel
4.0,M,42.0,1.0,CO,Hotel
4.0,F,,0.0,,Hotel
4.0,F,45.0,0.0,NL,Hotel
3.0,M,49.0,,,Hotel
4.0,F,42.0,0.0,PE,Hotel
6.0,F,50.0,1.0,,AirBnB
3.0,F,39.0,0.0,UK,Hotel
5.0,F,42.0,,,Hotel
6.0,M,32.0,1.0,CO,AirBnB
5.0,F,37.0,1.0,,Hotel
3.0,M,39.0,0.0,,Hotel
3.0,M,37.0,1.0,,AirBnB
2.0,M,51.0,0.0,PE,AirBnB
3.0,M,44.0,0.0,CO,AirBnB
4.0,M,49.0,1.0,AR,Hotel
5.0,M,35.0,0.0,NL,Hotel
5.0,F,33.0,0.0,CO,AirBnB
2.0,M,,0.0,,AirBnB
8.0,F,31.0,1.0,IT,Hotel
8.0,F,47.0,0.0,,Hotel
7.0,M,39.0,0.0,PE,Hotel
3.0,F,36.0,1.0,US,Hotel
4.0,M,45.0,1.0,US,Hotel
1.0,F,36.0,1.0,NL,Hotel
4.0,F,42.0,0.0,US,Hotel
3.0,M,38.0,1.0,AR,AirBnB
5.0,F,38.0,1.0,ES,Hotel
2.0,F,38.0,0.0,US,Hotel
2.0,F,41.0,0.0,NL,Hotel
4.0,M,,1.0,NL,AirBnB
6.0,F,42.0,1.0,NL,AirBnB
5.0,F,38.0,,IT,Hotel
7.0,M,40.0,1.0,US,AirBnB
4.0,M,43.0,1.0,AR,Hotel
6.0,F,43.0,0.0,,Hotel
2.0,M,38.0,0.0,IT,AirBnB
7.0,F,39.0,0.0,,AirBnB
5.0,F,,0.0,IT,AirBnB
6.0,F,32.0,1.0,UK,Hotel
4.0,M,37.0,1.0,ES,Hotel
3.0,F,33.0,1.0,AR,Hotel
7.0,M,47.0,0.0,,AirBnB
6.0,F,,1.0,NL,AirBnB
4.0,M,,0.0,ES,AirBnB
4.0,M,51.0,0.0,CO,AirBnB
2.0,M,,1.0,IT,AirBnB
6.0,F,,1.0,PE,Hotel
1.0,F,38.0,,NL,Hotel
3.0,F,47.0,,US,AirBnB
2.0,M,37.0,0.0,IT,Hotel
6.0,F,40.0,0.0,IT,Hotel
4.0,F,,0.0,AR,AirBnB
5.0,F,36.0,1.0,IT,Hotel
2.0,F,,0.0,IT,Hotel
2.0,M,40.0,0.0,PE,Hotel
5.0,F,36.0,1.0,NL,Hotel
6.0,M,41.0,0.0,NL,AirBnB
2.0,M,48.0,1.0,IT,Hotel
5.0,F,37.0,1.0,NL,Hotel
7.0,F,46.0,0.0,CO,AirBnB
4.0,M,50.0,0.0,US,AirBnB
5.0,M,40.0,0.0,NL,Hotel
6.0,F,36.0,0.0,US,Hotel
5.0,M,42.0,1.0,US,Hotel
3.0,F,38.0,,ES,Hotel
7.0,F,40.0,1.0,US,Hotel
5.0,F,39.0,0.0,UK,Hotel
7.0,F,40.0,0.0,NL,AirBnB
2.0,F,46.0,0.0,AR,Hotel
1.0,M,39.0,0.0,UK,Hotel
5.0,M,26.0,0.0,NL,Hotel
4.0,M,36.0,0.0,IT,Hotel
3.0,M,,1.0,CO,AirBnB
3.0,M,38.0,1.0,PE,AirBnB
4.0,F,35.0,1.0,ES,Hotel
7.0,M,43.0,0.0,NL,AirBnB
5.0,M,44.0,0.0,CO,AirBnB
4.0,M,35.0,0.0,NL,Hotel
4.0,F,35.0,0.0,IT,AirBnB
5.0,F,40.0,1.0,ES,Hotel
3.0,F,,0.0,ES,AirBnB
7.0,M,,0.0,AR,Hotel
3.0,F,,0.0,UK,Hotel
3.0,F,39.0,0.0,UK,AirBnB
3.0,F,,1.0,UK,Hotel
3.0,F,41.0,0.0,PE,Hotel
5.0,F,40.0,1.0,,Hotel
3.0,F,42.0,1.0,UK,AirBnB
3.0,F,37.0,,IT,Hotel
5.0,F,46.0,0.0,US,Hotel
8.0,F,38.0,1.0,PE,Hotel
4.0,M,35.0,,UK,AirBnB
1.0,F,40.0,1.0,AR,Hotel
3.0,M,44.0,1.0,ES,AirBnB
5.0,F,45.0,0.0,US,Hotel
4.0,M,38.0,0.0,ES,Hotel
5.0,F,49.0,1.0,IT,AirBnB
4.0,F,49.0,0.0,PE,Hotel
4.0,F,42.0,1.0,UK,AirBnB
3.0,F,42.0,1.0,UK,AirBnB
4.0,M,34.0,0.0,IT,Hotel
5.0,F,33.0,0.0,PE,AirBnB
4.0,M,45.0,0.0,,AirBnB
4.0,F,45.0,0.0,ES,Hotel
7.0,F,47.0,0.0,,Hotel
2.0,M,37.0,1.0,ES,AirBnB
5.0,M,35.0,0.0,IT,Hotel
2.0,F,32.0,0.0,,AirBnB
8.0,F,45.0,,IT,Hotel
5.0,F,37.0,0.0,PE,Hotel
4.0,M,35.0,1.0,AR,AirBnB
1.0,M,37.0,1.0,PE,AirBnB
7.0,F,41.0,1.0,AR,AirBnB
3.0,F,,1.0,PE,Hotel
1.0,M,37.0,1.0,NL,AirBnB
6.0,M,45.0,0.0,AR,AirBnB
3.0,F,37.0,1.0,CO,Hotel
5.0,F,,1.0,US,Hotel
2.0,M,41.0,0.0,IT,AirBnB
7.0,F,44.0,1.0,PE,AirBnB
4.0,F,43.0,0.0,,Hotel
8.0,F,45.0,1.0,NL,AirBnB
6.0,F,40.0,1.0,IT,Hotel
5.0,M,41.0,0.0,ES,AirBnB
2.0,F,45.0,1.0,,AirBnB
4.0,M,41.0,0.0,NL,AirBnB
4.0,M,31.0,0.0,PE,Hotel
3.0,F,35.0,,NL,AirBnB
4.0,F,33.0,1.0,ES,Hotel
5.0,F,38.0,1.0,NL,AirBnB
3.0,F,46.0,1.0,CO,Hotel
6.0,F,50.0,0.0,PE,Hotel
6.0,M,,0.0,NL,Hotel
6.0,F,43.0,1.0,PE,AirBnB
7.0,M,45.0,1.0,NL,Hotel
6.0,F,,0.0,CO,Hotel
5.0,M,,1.0,CO,AirBnB
4.0,M,45.0,0.0,CO,AirBnB
3.0,F,44.0,0.0,US,Hotel
6.0,M,38.0,1.0,UK,AirBnB
3.0,M,43.0,1.0,AR,Hotel
5.0,M,,1.0,ES,AirBnB
8.0,M,42.0,1.0,,Hotel
3.0,F,44.0,0.0,CO,Hotel
3.0,M,37.0,1.0,UK,AirBnB
5.0,F,,1.0,AR,Hotel
3.0,F,35.0,0.0,US,AirBnB
3.0,F,43.0,,IT,Hotel
2.0,F,33.0,1.0,AR,Hotel
2.0,F,41.0,,AR,AirBnB
3.0,M,39.0,1.0,UK,AirBnB
4.0,M,38.0,1.0,AR,Hotel
5.0,M,42.0,0.0,UK,AirBnB
3.0,F,38.0,,CO,AirBnB
2.0,F,41.0,0.0,US,Hotel
1.0,M,47.0,0.0,UK,AirBnB
2.0,F,39.0,1.0,IT,Hotel
4.0,F,35.0,,CO,AirBnB
5.0,F,39.0,0.0,AR,Hotel
2.0,M,40.0,0.0,CO,Hotel
4.0,M,43.0,1.0,CO,Hotel
1.0,M,41.0,0.0,ES,AirBnB
2.0,M,38.0,1.0,UK,Hotel
4.0,F,45.0,0.0,IT,Hotel
3.0,F,42.0,1.0,CO,AirBnB
4.0,M,42.0,1.0,CO,Hotel
3.0,F,38.0,0.0,UK,Hotel
5.0,F,35.0,1.0,ES,Hotel
5.0,M,52.0,0.0,CO,Hotel
4.0,F,41.0,1.0,CO,AirBnB
4.0,F,39.0,1.0,ES,Hotel
4.0,M,44.0,1.0,PE,AirBnB
4.0,M,42.0,1.0,AR,Hotel
2.0,M,52.0,0.0,AR,AirBnB
4.0,F,35.0,1.0,UK,Hotel
6.0,M,48.0,1.0,IT,AirBnB
4.0,M,,0.0,,AirBnB
4.0,M,36.0,1.0,UK,AirBnB
3.0,M,49.0,1.0,UK,Hotel
3.0,F,27.0,0.0,PE,Hotel
3.0,M,41.0,1.0,NL,AirBnB
4.0,F,39.0,,PE,Hotel
4.0,M,30.0,1.0,ES,AirBnB
8.0,F,36.0,0.0,ES,AirBnB
3.0,F,43.0,0.0,IT,Hotel
2.0,F,41.0,0.0,AR,Hotel
3.0,F,,0.0,AR,AirBnB
4.0,F,39.0,0.0,US,AirBnB
5.0,F,40.0,1.0,AR,AirBnB
5.0,M,44.0,1.0,PE,Hotel
4.0,F,48.0,0.0,UK,Hotel
3.0,M,41.0,0.0,IT,AirBnB
4.0,M,39.0,1.0,CO,AirBnB
1.0,M,44.0,0.0,PE,AirBnB
3.0,F,38.0,1.0,IT,Hotel
2.0,F,45.0,,US,Hotel
5.0,F,37.0,0.0,CO,Hotel
4.0,F,38.0,0.0,,AirBnB
5.0,F,,0.0,US,Hotel
6.0,M,49.0,,AR,Hotel
3.0,F,47.0,0.0,IT,AirBnB
2.0,M,39.0,0.0,IT,Hotel
2.0,F,40.0,0.0,UK,Hotel
5.0,M,43.0,0.0,ES,Hotel
1.0,F,45.0,0.0,NL,Hotel
2.0,M,33.0,0.0,US,Hotel
8.0,F,38.0,1.0,AR,Hotel
3.0,F,37.0,0.0,,AirBnB
4.0,F,34.0,0.0,UK,Hotel
6.0,M,,0.0,IT,AirBnB
2.0,M,44.0,1.0,NL,AirBnB
3.0,F,,,PE,Hotel
3.0,F,45.0,0.0,NL,AirBnB
4.0,M,44.0,1.0,CO,Hotel
4.0,F,36.0,,UK,AirBnB
5.0,M,46.0,1.0,IT,Hotel
4.0,M,38.0,1.0,US,AirBnB
2.0,F,42.0,1.0,NL,AirBnB
6.0,F,48.0,1.0,PE,Hotel
4.0,M,46.0,0.0,CO,AirBnB
5.0,F,35.0,1.0,CO,Hotel
4.0,M,41.0,1.0,PE,Hotel
4.0,M,36.0,1.0,UK,AirBnB
5.0,F,38.0,0.0,PE,Hotel
8.0,M,49.0,1.0,US,Hotel
4.0,M,43.0,1.0,IT,Hotel
6.0,M,46.0,0.0,UK,AirBnB
7.0,M,48.0,1.0,ES,Hotel
6.0,F,38.0,0.0,NL,AirBnB
2.0,M,43.0,,ES,AirBnB
4.0,M,,0.0,CO,AirBnB
2.0,M,45.0,1.0,AR,Hotel
5.0,M,49.0,0.0,PE,AirBnB
8.0,F,41.0,,UK,Hotel
4.0,F,39.0,0.0,ES,AirBnB
2.0,M,38.0,1.0,NL,AirBnB
5.0,M,35.0,1.0,UK,Hotel
3.0,F,50.0,0.0,US,Hotel
5.0,F,44.0,1.0,ES,Hotel
3.0,F,50.0,1.0,US,AirBnB
5.0,F,45.0,1.0,NL,AirBnB
3.0,F,36.0,1.0,ES,Hotel
6.0,M,45.0,0.0,US,AirBnB
7.0,M,38.0,0.0,CO,Hotel
2.0,M,,0.0,IT,AirBnB
3.0,F,43.0,1.0,US,AirBnB
6.0,M,36.0,,NL,Hotel
5.0,M,39.0,0.0,PE,Hotel
7.0,M,38.0,1.0,,Hotel
4.0,M,43.0,1.0,AR,AirBnB
3.0,M,45.0,1.0,AR,Hotel
4.0,M,,1.0,,AirBnB
3.0,F,38.0,0.0,AR,Hotel
4.0,M,39.0,0.0,PE,Hotel
3.0,F,42.0,0.0,CO,Hotel
7.0,F,,0.0,,AirBnB
5.0,F,41.0,1.0,PE,AirBnB
4.0,F,32.0,,NL,Hotel
7.0,F,47.0,1.0,AR,AirBnB
4.0,F,,0.0,,Hotel
4.0,F,35.0,0.0,,Hotel
1.0,M,43.0,,CO,Hotel
3.0,M,40.0,1.0,NL,Hotel
5.0,F,25.0,1.0,,Hotel
4.0,F,45.0,0.0,AR,AirBnB
2.0,M,34.0,1.0,CO,AirBnB
3.0,M,27.0,0.0,PE,Hotel
5.0,F,,1.0,US,Hotel
3.0,F,31.0,0.0,ES,AirBnB
3.0,F,37.0,1.0,PE,AirBnB
5.0,F,,,,Hotel
4.0,M,41.0,1.0,CO,Hotel
2.0,F,45.0,1.0,,AirBnB
2.0,M,39.0,0.0,PE,AirBnB
1.0,F,43.0,0.0,AR,Hotel
3.0,M,,,CO,Hotel
4.0,F,44.0,1.0,PE,AirBnB
5.0,M,47.0,,US,Hotel
6.0,M,42.0,0.0,UK,AirBnB
3.0,F,41.0,1.0,UK,AirBnB
2.0,F,37.0,1.0,,Hotel
4.0,F,,0.0,CO,Hotel
2.0,M,44.0,0.0,AR,AirBnB
2.0,F,39.0,1.0,NL,Hotel
6.0,M,48.0,1.0,NL,Hotel
3.0,F,43.0,1.0,PE,AirBnB
7.0,M,,1.0,ES,Hotel
3.0,F,40.0,0.0,CO,AirBnB
4.0,F,37.0,,ES,Hotel
3.0,M,32.0,0.0,PE,Hotel
4.0,F,41.0,0.0,IT,Hotel
4.0,F,45.0,1.0,CO,AirBnB
5.0,M,41.0,,US,Hotel
5.0,F,,1.0,US,AirBnB
4.0,F,39.0,,US,AirBnB
5.0,M,45.0,1.0,AR,Hotel
4.0,F,46.0,0.0,NL,Hotel
3.0,M,42.0,1.0,AR,Hotel
4.0,M,50.0,1.0,PE,Hotel
4.0,M,46.0,0.0,UK,AirBnB
7.0,F,46.0,0.0,UK,Hotel
7.0,F,38.0,1.0,,Hotel
6.0,M,,,,Hotel
3.0,F,37.0,0.0,CO,AirBnB
4.0,F,41.0,1.0,,AirBnB
5.0,F,51.0,1.0,PE,AirBnB
6.0,F,39.0,1.0,CO,Hotel
3.0,M,39.0,1.0,UK,AirBnB
1.0,F,36.0,0.0,NL,AirBnB
4.0,F,52.0,0.0,AR,Hotel
8.0,M,38.0,1.0,ES,Hotel
4.0,M,41.0,0.0,UK,AirBnB
4.0,F,43.0,0.0,ES,Hotel
4.0,M,43.0,1.0,,Hotel
4.0,F,36.0,0.0,CO,AirBnB
4.0,M,46.0,0.0,,Hotel
4.0,M,46.0,1.0,NL,Hotel
1.0,M,43.0,0.0,ES,AirBnB
1.0,F,45.0,1.0,UK,Hotel
6.0,F,41.0,1.0,US,AirBnB
5.0,F,42.0,1.0,UK,AirBnB
7.0,F,31.0,0.0,IT,AirBnB
4.0,F,35.0,1.0,IT,Hotel
4.0,F,,0.0,UK,AirBnB
3.0,F,,0.0,AR,Hotel
4.0,M,37.0,1.0,NL,AirBnB
3.0,F,36.0,0.0,PE,Hotel
5.0,F,41.0,0.0,UK,Hotel
4.0,M,41.0,1.0,ES,Hotel
2.0,F,34.0,1.0,AR,AirBnB
1.0,F,45.0,0.0,CO,Hotel
5.0,M,41.0,1.0,UK,Hotel
1.0,F,37.0,0.0,UK,Hotel
4.0,M,43.0,0.0,UK,AirBnB
4.0,M,35.0,0.0,UK,Hotel
6.0,M,47.0,1.0,AR,Hotel
7.0,F,46.0,0.0,ES,Hotel
3.0,M,28.0,1.0,CO,AirBnB
3.0,M,40.0,1.0,US,AirBnB
4.0,F,34.0,,US,Hotel
4.0,M,49.0,1.0,NL,Hotel
1.0,F,48.0,0.0,UK,Hotel
5.0,M,,0.0,IT,Hotel
4.0,F,44.0,,CO,AirBnB
2.0,F,34.0,1.0,UK,Hotel
3.0,M,39.0,0.0,AR,Hotel
5.0,F,,1.0,US,Hotel
5.0,F,42.0,1.0,UK,AirBnB
3.0,F,36.0,1.0,UK,Hotel
3.0,M,40.0,0.0,IT,AirBnB
6.0,F,40.0,0.0,IT,AirBnB
5.0,F,46.0,1.0,ES,Hotel
3.0,F,41.0,0.0,,Hotel
3.0,M,41.0,,,Hotel
3.0,M,47.0,1.0,PE,Hotel
